host_name,ip,cpu,memory,disk,network,processes,connections,attack_type,status,threats,action,offline
DESKTOP-7HIR3KC,192.168.8.146,49.4,85.6,97.0,0.43,329,122,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.5,85.4,97.0,1.21,329,119,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,4.7,85.5,97.0,0.79,329,118,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,17.5,85.8,97.0,0.48,329,119,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,16.3,85.8,97.0,1.09,329,120,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,13.7,86.0,97.0,16.76,329,115,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,3.6,86.5,97.0,22.29,329,114,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,2.0,86.1,97.0,0.43,329,112,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,9.4,85.9,97.0,0.48,329,110,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,14.6,86.2,97.0,0.8,329,108,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,27.7,86.3,97.0,0.58,328,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,16.5,86.1,97.0,33.93,328,107,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,30.4,86.2,97.0,19.65,328,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,25.7,86.0,97.0,651.75,327,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,42.4,85.3,97.0,11.6,327,107,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,67.3,85.5,97.0,0.0,327,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,40.1,85.9,97.0,0.41,327,106,Unknown,Safe,Unknown,SAFE,False
DESKTOP-7HIR3KC,192.168.8.146,50.0,83.1,97.0,61.06,335,97,Unknown,Safe,Unknown,SAFE,False
