2026-02-14 22:41:43,2.0,1.0,168.0,0,ALLOW
2026-02-14 22:41:43,2.0,1.0,168.0,0,ALLOW
2026-02-14 22:41:43,2.0,1.0,170.0,0,ALLOW
2026-02-14 22:41:43,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:41:43,2.0,1.0,170.0,0,ALLOW
2026-02-14 22:41:53,2.0,1.0,169.0,0,ALLOW
2026-02-14 22:41:53,2.0,1.0,169.0,0,ALLOW
2026-02-14 22:41:53,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:41:53,2.0,1.0,172.0,0,ALLOW
2026-02-14 22:41:53,2.0,1.0,172.0,0,ALLOW
2026-02-14 22:41:58,2.0,1.0,174.0,0,ALLOW
2026-02-14 22:42:03,2.0,1.0,172.0,0,ALLOW
2026-02-14 22:42:03,2.0,1.0,174.0,0,ALLOW
2026-02-14 22:42:03,2.0,1.0,174.0,0,ALLOW
2026-02-14 22:42:03,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:03,2.0,1.0,174.0,0,ALLOW
2026-02-14 22:42:08,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:13,2.0,1.0,176.0,0,ALLOW
2026-02-14 22:42:13,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:13,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:13,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:13,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:18,2.0,1.0,179.0,0,ALLOW
2026-02-14 22:42:23,2.0,1.0,175.0,0,ALLOW
2026-02-14 22:42:23,2.0,1.0,176.0,0,ALLOW
2026-02-14 22:42:23,2.0,1.0,177.0,0,ALLOW
2026-02-14 22:42:23,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:23,2.0,1.0,177.0,0,ALLOW
2026-02-14 22:42:28,2.0,1.0,180.0,0,ALLOW
2026-02-14 22:42:33,2.0,1.0,176.0,0,ALLOW
2026-02-14 22:42:33,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:33,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:33,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:33,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:38,2.0,1.0,181.0,0,ALLOW
2026-02-14 22:42:43,2.0,1.0,177.0,0,ALLOW
2026-02-14 22:42:43,2.0,1.0,178.0,0,ALLOW
2026-02-14 22:42:43,2.0,1.0,179.0,0,ALLOW
2026-02-14 22:42:43,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:43,2.0,1.0,183.0,0,ALLOW
2026-02-14 22:42:48,2.0,1.0,183.0,0,ALLOW
2026-02-14 22:42:53,2.0,1.0,184.0,0,ALLOW
2026-02-14 22:42:53,2.0,1.0,186.0,0,ALLOW
2026-02-14 22:42:53,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:42:53,2.0,1.0,186.0,0,ALLOW
2026-02-14 22:42:53,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:42:58,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:43:03,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:43:03,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:43:03,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:03,2.0,1.0,192.0,0,ALLOW
2026-02-14 22:43:03,2.0,1.0,194.0,0,ALLOW
2026-02-14 22:43:08,2.0,1.0,194.0,0,ALLOW
2026-02-14 22:43:13,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:43:13,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:43:13,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:13,2.0,1.0,192.0,0,ALLOW
2026-02-14 22:43:13,2.0,1.0,196.0,0,ALLOW
2026-02-14 22:43:18,2.0,1.0,194.0,0,ALLOW
2026-02-14 22:43:23,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:43:23,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:43:23,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:23,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:43:23,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:43:28,2.0,1.0,193.0,0,ALLOW
2026-02-14 22:43:33,2.0,1.0,186.0,0,ALLOW
2026-02-14 22:43:33,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:43:33,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:43:33,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:33,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:43:38,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:43:43,2.0,1.0,187.0,0,ALLOW
2026-02-14 22:43:43,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:43:43,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:43:43,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:44,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:43:48,2.0,1.0,192.0,0,ALLOW
2026-02-14 22:43:53,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:43:53,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:43:54,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:43:54,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:43:54,2.0,1.0,195.0,0,ALLOW
2026-02-14 22:43:58,2.0,1.0,193.0,0,ALLOW
2026-02-14 22:44:03,2.0,1.0,188.0,0,ALLOW
2026-02-14 22:44:03,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:44:04,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:44:04,900.0,600.0,900.0,1,BLOCK
2026-02-14 22:44:04,2.0,1.0,190.0,0,ALLOW
2026-02-14 22:44:08,2.0,1.0,191.0,0,ALLOW
2026-02-14 22:44:13,2.0,1.0,187.0,0,ALLOW
2026-02-14 22:44:13,2.0,1.0,189.0,0,ALLOW
2026-02-14 22:44:14,2.0,1.0,189.0,0,ALLOW
